# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-T" "6" "-p" "--donotsort" "-a" "consensus_peaks.mLb.clN.saf" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "UBR-18_R1.mLb.clN.bam" "UVR-11_R1.mLb.clN.bam" "UVR-14_R1.mLb.clN.bam" "PDR-4_R1.mLb.clN.bam" "DME-4_R1.mLb.clN.bam" 
Geneid	Chr	Start	End	Strand	Length	UBR-18_R1.mLb.clN.bam	UVR-11_R1.mLb.clN.bam	UVR-14_R1.mLb.clN.bam	PDR-4_R1.mLb.clN.bam	DME-4_R1.mLb.clN.bam
Interval_7960	chr19	38064011	38064272	+	262	5	6	6	9	2
Interval_7961	chr19	38315682	38316253	+	572	60	36	25	64	31
Interval_7962	chr19	38335604	38335841	+	238	60	63	16	49	34
Interval_7963	chr19	38336355	38337127	+	773	95	79	42	58	36
Interval_7964	chr19	38374420	38374792	+	373	109	83	54	77	35
Interval_7965	chr19	38402887	38403544	+	658	73	54	43	41	26
Interval_7966	chr19	38507015	38507279	+	265	26	13	8	18	8
Interval_7967	chr19	38618219	38618609	+	391	16	11	11	11	16
Interval_7968	chr19	38618755	38619202	+	448	35	34	17	33	18
Interval_7969	chr19	38647354	38647779	+	426	44	45	27	29	25
Interval_7970	chr19	38693812	38694037	+	226	6	7	4	8	12
Interval_7971	chr19	38831667	38832075	+	409	57	41	24	44	21
Interval_7972	chr19	38849788	38850735	+	948	340	257	156	282	157
Interval_7973	chr19	38899302	38899995	+	694	151	125	59	149	81
Interval_7974	chr19	38930375	38931289	+	915	118	86	45	59	43
Interval_7975	chr19	39125659	39125837	+	179	25	25	16	12	11
Interval_7976	chr19	39341925	39342399	+	475	76	64	37	72	39
Interval_7977	chr19	39390893	39391561	+	669	115	79	55	113	48
Interval_7978	chr19	39401550	39401754	+	205	26	12	6	14	16
Interval_7979	chr19	39406955	39407155	+	201	29	29	14	11	12
Interval_7980	chr19	39411891	39412673	+	783	132	113	59	104	45
Interval_7981	chr19	39435727	39436214	+	488	44	36	26	42	24
Interval_7982	chr19	39445423	39445852	+	430	44	22	18	46	16
Interval_7983	chr19	39480635	39480901	+	267	31	10	19	21	10
Interval_7984	chr19	39532797	39533008	+	212	24	20	14	18	9
Interval_7985	chr19	39540019	39540330	+	312	25	19	11	15	9
Interval_7986	chr19	39793154	39793379	+	226	13	10	2	7	4
Interval_7987	chr19	39824576	39824802	+	227	27	24	14	22	13
Interval_7988	chr19	39833574	39834305	+	732	84	59	43	61	20
Interval_7989	chr19	39846322	39846589	+	268	14	19	13	15	5
Interval_7990	chr19	39878060	39878295	+	236	8	22	7	1	2
Interval_7991	chr19	39970662	39971209	+	548	82	66	47	62	43
Interval_7992	chr19	39996570	39997461	+	892	42	30	18	21	14
Interval_7993	chr19	40090460	40090953	+	494	22	22	17	16	6
Interval_7994	chr19	40190559	40191346	+	788	18	27	16	26	32
Interval_7995	chr19	40285406	40285761	+	356	73	54	34	46	21
Interval_7996	chr19	40348363	40348734	+	372	61	44	38	56	30
Interval_7997	chr19	40420898	40421263	+	366	23	15	14	8	12
Interval_7998	chr19	40425576	40426189	+	614	131	106	63	96	41
Interval_7999	chr19	40443116	40443403	+	288	75	53	52	68	36
Interval_8000	chr19	40444325	40444840	+	516	94	70	53	78	31
Interval_8001	chr19	40465698	40466714	+	1017	141	97	74	132	76
Interval_8002	chr19	40529154	40529379	+	226	7	15	9	5	3
Interval_8003	chr19	40570563	40570994	+	432	82	87	47	86	31
Interval_8004	chr19	40576567	40576840	+	274	19	26	14	17	16
Interval_8005	chr19	40605342	40605566	+	225	22	10	2	18	14
Interval_8006	chr19	40610331	40610534	+	204	14	4	5	6	7
Interval_8007	chr19	40613858	40614118	+	261	14	19	15	19	9
Interval_8008	chr19	40662972	40663351	+	380	25	8	17	9	9
Interval_8009	chr19	40716846	40717197	+	352	36	38	24	23	16
Interval_8010	chr19	40750502	40751224	+	723	166	106	73	127	76
Interval_8011	chr19	40777431	40778644	+	1214	156	118	77	153	90
Interval_8012	chr19	40798637	40799098	+	462	124	70	48	94	56
Interval_8013	chr19	40818594	40818795	+	202	11	11	6	8	4
Interval_8014	chr19	41120938	41121442	+	505	33	17	11	47	8
Interval_8015	chr19	41176214	41176416	+	203	11	7	7	5	2
Interval_8016	chr19	41263444	41264397	+	954	148	134	77	134	112
Interval_8017	chr19	41310129	41310411	+	283	24	12	8	9	8
Interval_8018	chr19	41327616	41328155	+	540	36	33	23	32	18
Interval_8019	chr19	41351404	41351733	+	330	33	24	15	33	13
Interval_8020	chr19	41353698	41354189	+	492	48	41	29	56	19
Interval_8021	chr19	41363840	41364331	+	492	79	56	42	56	30
Interval_8022	chr19	41397308	41397823	+	516	67	37	52	46	36
Interval_8023	chr19	41859591	41860303	+	713	83	94	55	64	33
Interval_8024	chr19	41884150	41884342	+	193	14	17	16	26	7
Interval_8025	chr19	41993882	41994126	+	245	15	5	11	12	8
Interval_8026	chr19	42075617	42076243	+	627	131	108	54	86	73
Interval_8027	chr19	42217609	42217971	+	363	56	62	43	44	26
Interval_8028	chr19	42220026	42220356	+	331	40	29	30	40	21
Interval_8029	chr19	42242618	42243330	+	713	145	108	81	128	60
Interval_8030	chr19	42244608	42244923	+	316	36	22	23	38	9
Interval_8031	chr19	42268226	42269235	+	1010	338	234	151	299	142
Interval_8032	chr19	42283177	42283964	+	788	66	65	33	78	45
Interval_8033	chr19	42325277	42325859	+	583	81	62	34	61	27
Interval_8034	chr19	42396774	42397127	+	354	45	25	18	26	22
Interval_8035	chr19	42423343	42423986	+	644	38	31	21	31	26
Interval_8036	chr19	42450420	42450668	+	249	16	17	12	17	12
Interval_8037	chr19	43463243	43464263	+	1021	123	104	75	102	66
Interval_8038	chr19	43475338	43475532	+	195	19	9	5	12	6
Interval_8039	chr19	43503706	43504683	+	978	54	49	32	37	25
Interval_8040	chr19	43533878	43534252	+	375	54	45	30	33	25
Interval_8041	chr19	43562704	43563079	+	376	19	24	14	26	25
Interval_8042	chr19	43575588	43575846	+	259	30	27	21	26	11
Interval_8043	chr19	43596094	43596428	+	335	43	44	31	26	12
Interval_8044	chr19	43619489	43620023	+	535	39	25	21	27	13
Interval_8045	chr19	43668411	43669012	+	602	94	73	55	67	37
Interval_8046	chr19	43754398	43755252	+	855	70	44	49	64	43
Interval_8047	chr19	44500255	44500796	+	542	31	29	16	27	14
Interval_8048	chr19	44753314	44753578	+	265	34	37	18	33	13
Interval_8049	chr19	44770600	44770858	+	259	42	33	17	47	12
Interval_8050	chr19	44890449	44891281	+	833	189	149	102	178	74
Interval_8051	chr19	44954762	44955362	+	601	37	29	26	30	20
Interval_8052	chr19	45001837	45002242	+	406	49	53	26	51	16
Interval_8053	chr19	45016483	45016721	+	239	4	6	3	11	1
Interval_8054	chr19	45038966	45039471	+	506	29	24	15	22	7
Interval_8055	chr19	45091628	45092003	+	376	31	23	18	15	11
Interval_8056	chr19	45092814	45093083	+	270	21	26	16	16	5
Interval_8057	chr19	45178133	45178998	+	866	200	166	134	183	90
Interval_8058	chr19	45370579	45370780	+	202	53	39	31	37	21
Interval_8059	chr19	45405776	45406635	+	860	31	28	29	42	21
Interval_8060	chr19	45439613	45439853	+	241	20	13	8	12	7
Interval_8061	chr19	45456079	45456423	+	345	12	17	9	7	3
Interval_8062	chr19	45467584	45467992	+	409	41	25	30	33	17
Interval_8063	chr19	45468977	45469824	+	848	58	63	42	79	31
Interval_8064	chr19	45478470	45479178	+	709	63	22	27	36	19
Interval_8065	chr19	45485374	45485931	+	558	50	41	22	30	26
Interval_8066	chr19	45506547	45507667	+	1121	84	57	42	70	46
Interval_8067	chr19	45584347	45585059	+	713	141	121	75	140	65
Interval_8068	chr19	45642234	45642564	+	331	24	13	12	8	10
Interval_8069	chr19	45669328	45669559	+	232	9	11	3	13	3
Interval_8070	chr19	45691907	45692798	+	892	141	103	67	129	59
Interval_8071	chr19	45717324	45717688	+	365	91	67	39	67	32
Interval_8072	chr19	45730899	45731145	+	247	20	29	17	21	5
Interval_8073	chr19	45770344	45770845	+	502	46	26	18	20	15
Interval_8074	chr19	45792809	45793041	+	233	33	13	10	25	7
Interval_8075	chr19	45863054	45863392	+	339	54	42	28	54	23
Interval_8076	chr19	45886129	45886333	+	205	17	13	15	20	9
Interval_8077	chr19	45886627	45886891	+	265	17	18	10	12	20
Interval_8078	chr19	45902636	45903175	+	540	66	40	38	39	13
Interval_8079	chr19	45995082	45995517	+	436	165	104	80	131	63
Interval_8080	chr19	46600607	46601223	+	617	63	44	33	59	33
Interval_8081	chr19	46638702	46639218	+	517	19	28	23	24	12
Interval_8082	chr19	46661111	46661598	+	488	98	72	51	78	31
Interval_8083	chr19	46753987	46754222	+	236	7	4	5	4	9
Interval_8084	chr19	46850699	46851118	+	420	43	26	28	34	30
Interval_8085	chr19	46860165	46860852	+	688	66	48	48	45	27
Interval_8086	chr19	47035861	47036216	+	356	33	23	16	17	21
Interval_8087	chr19	47048577	47048935	+	359	69	51	36	68	21
Interval_8088	chr19	47113023	47113744	+	722	85	62	39	70	30
Interval_8089	chr19	47130790	47130967	+	178	19	6	5	11	8
Interval_8090	chr19	47256799	47257288	+	490	82	69	48	41	40
Interval_8091	chr19	47273406	47274811	+	1406	93	77	72	90	48
Interval_8092	chr19	47349075	47349380	+	306	82	52	30	43	21
Interval_8093	chr19	47389114	47389519	+	406	11	23	4	8	4
Interval_8094	chr19	47483959	47484344	+	386	30	20	21	17	11
Interval_8095	chr19	47514992	47515635	+	644	162	128	80	169	75
Interval_8096	chr19	47600316	47600709	+	394	71	69	41	65	38
Interval_8097	chr19	47608185	47608853	+	669	32	29	19	29	17
Interval_8098	chr19	47745423	47745794	+	372	18	22	14	20	19
Interval_8099	chr19	47778449	47778658	+	210	9	7	14	8	9
Interval_8100	chr19	47843148	47843424	+	277	1	5	0	11	1
Interval_8101	chr19	47910259	47910499	+	241	15	21	12	12	4
Interval_8102	chr19	47949902	47950630	+	729	9	53	19	28	10
Interval_8103	chr19	47955952	47956282	+	331	7	25	2	13	6
Interval_8104	chr19	48170127	48170667	+	541	26	38	25	43	28
Interval_8105	chr19	48203928	48204117	+	190	23	14	6	14	12
Interval_8106	chr19	48255698	48255980	+	283	19	22	10	12	9
Interval_8107	chr19	48259854	48260369	+	516	37	27	20	50	12
Interval_8108	chr19	48321335	48322206	+	872	105	88	51	89	60
Interval_8109	chr19	48332850	48333277	+	428	89	55	32	68	47
Interval_8110	chr19	48363947	48364504	+	558	82	74	48	73	26
Interval_8111	chr19	48445591	48446179	+	589	39	26	28	26	12
Interval_8112	chr19	48468855	48469438	+	584	172	144	99	177	84
Interval_8113	chr19	48492803	48493266	+	464	33	23	19	20	7
Interval_8114	chr19	48619137	48619574	+	438	61	46	27	62	30
Interval_8115	chr19	48624144	48624472	+	329	41	32	13	42	20
Interval_8116	chr19	48637300	48638331	+	1032	179	126	86	167	62
Interval_8117	chr19	48646401	48646720	+	320	32	21	16	22	8
Interval_8118	chr19	48660816	48661266	+	451	19	19	12	24	8
Interval_8119	chr19	48713983	48714571	+	589	114	61	45	87	41
Interval_8120	chr19	48720735	48721150	+	416	33	29	16	29	18
Interval_8121	chr19	48795282	48795612	+	331	16	20	21	24	19
Interval_8122	chr19	48872312	48872747	+	436	27	30	28	19	22
Interval_8123	chr19	48875372	48875544	+	173	22	19	10	14	11
Interval_8124	chr19	48900037	48900339	+	303	24	27	13	17	14
Interval_8125	chr19	48933512	48933689	+	178	17	10	4	9	3
Interval_8126	chr19	48965198	48965993	+	796	76	52	52	59	29
Interval_8127	chr19	48993286	48993930	+	645	119	94	52	104	65
Interval_8128	chr19	48999704	48999905	+	202	6	6	5	10	2
Interval_8129	chr19	49044127	49044420	+	294	3	10	12	2	1
Interval_8130	chr19	49085118	49085653	+	536	86	56	33	50	31
Interval_8131	chr19	49113916	49114314	+	399	16	14	7	21	13
Interval_8132	chr19	49118764	49119329	+	566	71	56	35	84	30
Interval_8133	chr19	49127998	49128486	+	489	32	47	25	39	26
Interval_8134	chr19	49301411	49301834	+	424	9	12	17	18	2
Interval_8135	chr19	49443478	49443897	+	420	38	35	27	25	11
Interval_8136	chr19	49452950	49453615	+	666	83	89	27	59	26
Interval_8137	chr19	49469089	49469358	+	270	25	21	14	29	12
Interval_8138	chr19	49474131	49474481	+	351	26	18	15	31	9
Interval_8139	chr19	49487260	49487835	+	576	42	49	20	56	24
Interval_8140	chr19	49496001	49496401	+	401	46	59	37	59	41
Interval_8141	chr19	49500722	49501308	+	587	69	40	45	82	18
Interval_8142	chr19	49533647	49534422	+	776	35	27	21	34	14
Interval_8143	chr19	49580193	49580696	+	504	29	19	8	17	11
Interval_8144	chr19	49590119	49590587	+	469	38	40	25	48	20
Interval_8145	chr19	49640152	49640724	+	573	143	126	69	121	78
Interval_8146	chr19	49641856	49642207	+	352	112	72	45	65	42
Interval_8147	chr19	49664061	49664298	+	238	10	9	4	11	6
Interval_8148	chr19	49665736	49665966	+	231	39	31	23	26	16
Interval_8149	chr19	49676403	49677317	+	915	139	112	74	107	55
Interval_8150	chr19	49766407	49766966	+	560	159	106	64	133	58
Interval_8151	chr19	49813345	49813735	+	391	34	29	34	28	17
Interval_8152	chr19	49817962	49818267	+	306	25	20	15	25	7
Interval_8153	chr19	49850641	49851057	+	417	22	21	18	17	15
Interval_8154	chr19	49867277	49867597	+	321	24	21	14	24	18
Interval_8155	chr19	49869370	49869763	+	394	74	50	36	53	28
Interval_8156	chr19	49876591	49878055	+	1465	231	187	131	199	124
Interval_8157	chr19	49929099	49930086	+	988	74	45	41	55	41
Interval_8158	chr19	50025319	50026045	+	727	110	104	50	95	65
Interval_8159	chr19	50050508	50051074	+	567	27	9	10	16	14
Interval_8160	chr19	50098994	50099509	+	516	16	25	22	9	6
Interval_8161	chr19	50134218	50134435	+	218	3	20	5	8	5
Interval_8162	chr19	50135260	50136199	+	940	26	45	14	21	12
Interval_8163	chr19	50169174	50169478	+	305	8	15	5	4	0
Interval_8164	chr19	50248852	50249086	+	235	2	5	6	11	0
Interval_8165	chr19	50329374	50329618	+	245	26	30	22	15	6
Interval_8166	chr19	50333595	50333840	+	246	24	13	12	8	7
Interval_8167	chr19	50357167	50358002	+	836	42	19	11	41	17
Interval_8168	chr19	50376336	50376853	+	518	53	28	19	35	12
Interval_8169	chr19	50383842	50384401	+	560	50	41	32	43	21
Interval_8170	chr19	50431640	50431980	+	341	26	25	11	11	6
Interval_8171	chr19	50476339	50476566	+	228	20	26	8	14	9
Interval_8172	chr19	50511170	50511521	+	352	60	63	30	42	29
Interval_8173	chr19	50724664	50724867	+	204	13	12	4	11	6
Interval_8174	chr19	50804617	50805094	+	478	42	45	35	44	22
Interval_8175	chr19	51108338	51108886	+	549	67	60	48	41	26
Interval_8176	chr19	51211004	51211174	+	171	13	7	7	1	1
Interval_8177	chr19	51338949	51339239	+	291	11	11	11	14	7
Interval_8178	chr19	51339694	51339938	+	245	11	18	8	4	3
Interval_8179	chr19	51367257	51368073	+	817	57	55	44	69	26
Interval_8180	chr19	51372668	51373035	+	368	22	13	17	27	15
Interval_8181	chr19	51394095	51394529	+	435	42	38	26	37	13
Interval_8182	chr19	51417315	51417629	+	315	14	19	6	7	3
Interval_8183	chr19	51441622	51442091	+	470	17	18	20	30	13
Interval_8184	chr19	51498990	51499271	+	282	3	2	1	10	2
Interval_8185	chr19	51594418	51594589	+	172	32	20	14	19	11
Interval_8186	chr19	51703834	51704346	+	513	39	39	25	27	18
Interval_8187	chr19	51926959	51927409	+	451	27	21	8	15	9
Interval_8188	chr19	52008052	52008508	+	457	15	28	23	15	9
Interval_8189	chr19	52028216	52028698	+	483	28	26	19	24	15
Interval_8190	chr19	52048647	52049397	+	751	25	21	14	25	21
Interval_8191	chr19	52139347	52139744	+	398	15	13	11	19	5
Interval_8192	chr19	52139755	52140091	+	337	40	20	15	22	18
Interval_8193	chr19	52189558	52190369	+	812	175	143	111	139	79
Interval_8194	chr19	52269442	52269834	+	393	37	22	23	22	15
Interval_8195	chr19	52527279	52527700	+	422	30	18	15	24	14
Interval_8196	chr19	52535704	52536230	+	527	19	15	9	14	16
Interval_8197	chr19	52570136	52570563	+	428	29	31	17	27	16
Interval_8198	chr19	52638037	52638522	+	486	29	26	15	33	14
Interval_8199	chr19	52689905	52690097	+	193	12	7	1	5	2
Interval_8200	chr19	52690308	52690649	+	342	24	17	7	10	15
Interval_8201	chr19	52734775	52735407	+	633	31	32	32	24	15
Interval_8202	chr19	52821243	52821855	+	613	19	13	10	18	6
Interval_8203	chr19	52857263	52857737	+	475	20	22	7	11	9
Interval_8204	chr19	52962650	52963196	+	547	44	28	37	31	21
Interval_8205	chr19	53103354	53103826	+	473	40	43	21	40	16
Interval_8206	chr19	53333359	53333808	+	450	30	17	16	19	14
Interval_8207	chr19	53365361	53365745	+	385	26	14	9	20	10
Interval_8208	chr19	53395021	53395216	+	196	11	21	23	20	13
Interval_8209	chr19	53431830	53432170	+	341	28	28	19	19	21
Interval_8210	chr19	53520600	53521314	+	715	39	40	35	40	14
Interval_8211	chr19	53537647	53538391	+	745	45	27	37	37	17
Interval_8212	chr19	53554411	53554892	+	482	38	16	15	32	15
Interval_8213	chr19	53867464	53867798	+	335	51	48	35	36	25
Interval_8214	chr19	53879487	53879656	+	170	18	7	8	12	2
Interval_8215	chr19	54102503	54102896	+	394	54	40	28	37	28
Interval_8216	chr19	54115375	54115791	+	417	33	25	27	28	14
Interval_8217	chr19	54137019	54137744	+	726	262	192	126	247	118
Interval_8218	chr19	54159464	54160117	+	654	152	112	81	161	81
Interval_8219	chr19	54189565	54191248	+	1684	445	377	252	333	212
Interval_8220	chr19	54200483	54201364	+	882	35	57	46	46	18
Interval_8221	chr19	54208134	54208498	+	365	30	30	23	18	9
Interval_8222	chr19	54210846	54211400	+	555	46	24	20	54	35
Interval_8223	chr19	54448888	54449651	+	764	71	53	23	42	27
Interval_8224	chr19	54463707	54463923	+	217	22	25	12	25	11
Interval_8225	chr19	54905948	54906137	+	190	11	10	1	18	3
Interval_8226	chr19	55081268	55081537	+	270	24	12	9	15	2
Interval_8227	chr19	55117655	55117951	+	297	43	24	22	43	12
Interval_8228	chr19	55179423	55179597	+	175	13	4	2	10	4
Interval_8229	chr19	55258996	55259472	+	477	44	62	24	53	27
Interval_8230	chr19	55279927	55280422	+	496	64	33	19	42	23
Interval_8231	chr19	55301943	55302181	+	239	13	22	10	10	9
Interval_8232	chr19	55339051	55339908	+	858	223	185	109	189	104
Interval_8233	chr19	55385361	55386310	+	950	76	62	59	71	46
Interval_8234	chr19	55407773	55408402	+	630	102	68	60	102	46
Interval_8235	chr19	55461645	55462013	+	369	96	57	36	86	37
Interval_8236	chr19	55476477	55476680	+	204	33	36	21	27	12
Interval_8237	chr19	55476906	55477184	+	279	22	18	11	17	7
Interval_8238	chr19	55503869	55504238	+	370	30	35	16	29	9
Interval_8239	chr19	55517003	55517352	+	350	34	34	21	29	11
Interval_8240	chr19	55599061	55600249	+	1189	118	100	74	86	50
Interval_8241	chr19	55605284	55605596	+	313	19	32	24	27	23
Interval_8242	chr19	55653781	55655115	+	1335	173	147	88	112	73
Interval_8243	chr19	55674976	55675281	+	306	31	28	12	33	13
Interval_8244	chr19	56121399	56121719	+	321	47	46	39	50	19
Interval_8245	chr19	56140708	56141212	+	505	106	81	56	72	41
Interval_8246	chr19	56314612	56315507	+	896	70	51	59	43	43
Interval_8247	chr19	56368105	56368312	+	208	18	9	7	4	3
Interval_8248	chr19	56393371	56393778	+	408	14	29	12	14	16
Interval_8249	chr19	56403935	56404372	+	438	23	25	15	11	15
Interval_8250	chr19	56507747	56508034	+	288	10	7	4	13	4
Interval_8251	chr19	56538374	56538718	+	345	13	13	12	19	9
Interval_8252	chr19	57191436	57191686	+	251	16	17	12	11	7
Interval_8253	chr19	57240524	57240841	+	318	23	16	16	24	8
Interval_8254	chr19	57279878	57280638	+	761	44	45	31	45	29
Interval_8255	chr19	57320254	57320605	+	352	20	22	10	11	2
Interval_8256	chr19	57363330	57363621	+	292	25	16	23	24	10
Interval_8257	chr19	57389674	57390111	+	438	38	30	29	33	28
Interval_8258	chr19	57411083	57411306	+	224	35	25	18	23	11
Interval_8259	chr19	57435163	57435510	+	348	51	45	22	30	20
Interval_8260	chr19	57477549	57477748	+	200	17	14	8	15	2
Interval_8261	chr19	57487678	57488034	+	357	20	9	11	15	10
Interval_8262	chr19	57499774	57500147	+	374	31	15	15	23	9
Interval_8263	chr19	57527239	57527569	+	331	13	16	18	22	12
Interval_8264	chr19	57559528	57559927	+	400	19	17	7	16	3
Interval_8265	chr19	57578864	57579122	+	259	31	39	22	26	11
Interval_8266	chr19	57614137	57614314	+	178	23	12	6	10	4
Interval_8267	chr19	57633070	57633408	+	339	26	16	15	12	14
Interval_8268	chr19	57746630	57747006	+	377	31	14	14	18	10
Interval_8269	chr19	57769541	57769721	+	181	28	11	7	17	10
Interval_8270	chr19	57819614	57820003	+	390	28	20	19	34	10
Interval_8271	chr19	57849739	57849946	+	208	26	22	17	15	15
Interval_8272	chr19	57916535	57916889	+	355	26	28	14	37	15
Interval_8273	chr19	58154937	58155274	+	338	31	16	10	16	5
Interval_8274	chr19	58183182	58183590	+	409	15	25	18	20	10
Interval_8275	chr19	58278392	58279083	+	692	52	53	34	54	29
Interval_8276	chr19	58305142	58305606	+	465	52	41	28	59	14
Interval_8277	chr19	58326808	58327603	+	796	53	48	30	33	19
Interval_8278	chr19	58362694	58362983	+	290	34	28	20	28	9
Interval_8279	chr19	58380658	58381365	+	708	109	83	46	97	46
Interval_8280	chr19	58386769	58387306	+	538	46	42	32	55	27
Interval_8281	chr19	58401213	58401567	+	355	83	82	43	72	40
Interval_8282	chr19	58408244	58408825	+	582	30	35	24	29	19
Interval_8283	chr19	58440136	58440431	+	296	55	33	34	48	23
Interval_8284	chr19	58451434	58451829	+	396	32	35	31	21	7
Interval_8285	chr19	58466903	58467182	+	280	20	18	19	26	10
Interval_8286	chr19	58475760	58476298	+	539	68	31	52	63	36
Interval_8287	chr19	58499372	58499635	+	264	18	20	13	22	18
Interval_8288	chr19	58519566	58520034	+	469	39	27	15	19	6
Interval_8289	chr19	58543945	58544454	+	510	77	76	45	78	25
Interval_8290	chr19	58558651	58559077	+	427	50	35	22	25	20
Interval_8291	chr19	58572757	58573682	+	926	137	111	89	119	56
Interval_8292	chr2	264772	265177	+	406	58	44	39	40	33
Interval_8293	chr2	437968	438352	+	385	29	8	19	36	9
Interval_8294	chr2	565142	565383	+	242	4	15	4	8	3
Interval_8295	chr2	676673	677608	+	936	166	166	110	150	93
Interval_8296	chr2	795898	796143	+	246	2	11	1	3	0
Interval_8297	chr2	796192	796365	+	174	11	8	4	2	3
Interval_8298	chr2	1132261	1132620	+	360	2	4	5	11	3
Interval_8299	chr2	2613461	2613704	+	244	28	27	10	25	7
Interval_8300	chr2	3341440	3341660	+	221	8	16	5	3	1
Interval_8301	chr2	3377596	3378210	+	615	43	61	25	54	36
Interval_8302	chr2	3379632	3380104	+	473	32	39	22	33	20
Interval_8303	chr2	3518814	3519561	+	748	82	63	49	76	38
Interval_8304	chr2	3558061	3558843	+	783	69	72	57	69	27
Interval_8305	chr2	3575007	3575949	+	943	53	50	38	50	24
Interval_8306	chr2	3734610	3734857	+	248	6	2	2	5	12
Interval_8307	chr2	4441452	4441656	+	205	11	4	1	5	1
Interval_8308	chr2	4924029	4924522	+	494	9	14	7	28	8
Interval_8309	chr2	5409950	5410158	+	209	4	14	3	4	1
Interval_8310	chr2	6202817	6203212	+	396	7	5	5	13	2
Interval_8311	chr2	6224905	6225218	+	314	7	6	2	12	4
Interval_8312	chr2	6702781	6703132	+	352	1	2	1	8	0
Interval_8313	chr2	6780923	6781455	+	533	11	24	9	8	5
Interval_8314	chr2	6826550	6826830	+	281	15	10	2	10	5
Interval_8315	chr2	6865808	6866240	+	433	20	23	12	34	9
Interval_8316	chr2	7008354	7008599	+	246	8	18	5	8	2
Interval_8317	chr2	7200409	7200599	+	191	3	1	1	12	0
Interval_8318	chr2	7468186	7468394	+	209	11	10	7	14	3
Interval_8319	chr2	7725581	7725780	+	200	18	12	13	12	13
Interval_8320	chr2	7744876	7745132	+	257	11	10	3	21	12
Interval_8321	chr2	8298915	8299138	+	224	21	16	15	3	3
Interval_8322	chr2	8583653	8583934	+	282	19	29	17	14	4
Interval_8323	chr2	8681856	8682435	+	580	109	80	40	83	31
Interval_8324	chr2	8837374	8837653	+	280	10	23	10	18	13
Interval_8325	chr2	9373496	9373891	+	396	10	22	6	5	4
Interval_8326	chr2	9423248	9423889	+	642	71	43	28	44	28
Interval_8327	chr2	9474099	9474571	+	473	13	14	13	22	12
Interval_8328	chr2	9474913	9475227	+	315	11	9	6	9	13
Interval_8329	chr2	9555498	9556147	+	650	42	40	18	35	32
Interval_8330	chr2	9607918	9608143	+	226	12	11	8	11	10
Interval_8331	chr2	9630827	9631401	+	575	118	84	56	93	63
Interval_8332	chr2	9702917	9703747	+	831	49	37	28	70	39
Interval_8333	chr2	9843151	9843746	+	596	51	33	15	27	26
Interval_8334	chr2	9944318	9944603	+	286	4	5	6	3	9
Interval_8335	chr2	10029236	10029520	+	285	18	18	11	18	5
Interval_8336	chr2	10044259	10044506	+	248	11	8	10	15	14
Interval_8337	chr2	10120166	10120858	+	693	43	36	28	55	29
Interval_8338	chr2	10155616	10155891	+	276	3	17	5	7	4
Interval_8339	chr2	10302522	10303186	+	665	57	45	21	43	21
Interval_8340	chr2	10448088	10448812	+	725	79	51	41	59	41
Interval_8341	chr2	10493548	10493909	+	362	32	14	3	8	11
Interval_8342	chr2	10544299	10544654	+	356	33	13	7	15	1
Interval_8343	chr2	10807244	10807445	+	202	12	9	0	6	2
Interval_8344	chr2	10812651	10813067	+	417	47	46	26	55	33
Interval_8345	chr2	10960900	10961183	+	284	5	16	4	3	2
Interval_8346	chr2	11155024	11155890	+	867	113	89	55	89	39
Interval_8347	chr2	11465661	11466207	+	547	30	23	17	18	18
Interval_8348	chr2	11688299	11688616	+	318	31	13	12	12	8
Interval_8349	chr2	11746592	11746830	+	239	28	20	16	31	22
Interval_8350	chr2	11753748	11754219	+	472	18	13	9	24	11
Interval_8351	chr2	12044788	12045005	+	218	6	15	16	2	3
Interval_8352	chr2	12138856	12139082	+	227	1	4	4	10	2
Interval_8353	chr2	12319547	12319777	+	231	2	9	1	1	4
Interval_8354	chr2	12456445	12456713	+	269	21	10	8	8	4
Interval_8355	chr2	12632729	12632918	+	190	11	5	4	1	3
Interval_8356	chr2	12716645	12717083	+	439	38	20	27	53	15
Interval_8357	chr2	12899519	12899707	+	189	2	2	3	12	0
Interval_8358	chr2	15142241	15142458	+	218	21	11	7	20	8
Interval_8359	chr2	15177132	15177400	+	269	14	10	13	35	8
Interval_8360	chr2	15316481	15316713	+	233	10	8	6	16	7
Interval_8361	chr2	15561266	15561699	+	434	20	15	13	21	10
Interval_8362	chr2	15591567	15592274	+	708	68	56	39	59	17
Interval_8363	chr2	16332517	16332703	+	187	9	10	2	3	5
Interval_8364	chr2	16608728	16609292	+	565	41	36	24	42	22
Interval_8365	chr2	17107318	17107506	+	189	4	2	3	8	2
Interval_8366	chr2	17266438	17266654	+	217	3	6	6	0	1
Interval_8367	chr2	17753405	17754332	+	928	80	66	49	56	39
Interval_8368	chr2	18379953	18380176	+	224	6	10	1	5	6
Interval_8369	chr2	18387465	18387694	+	230	15	8	5	3	3
Interval_8370	chr2	18559954	18560840	+	887	68	73	67	81	40
Interval_8371	chr2	19347790	19348432	+	643	65	49	48	64	34
Interval_8372	chr2	19868871	19869114	+	244	9	21	13	17	8
Interval_8373	chr2	19901408	19902219	+	812	60	40	54	64	36
